,Polylines,X,Y
232,10,88.0,26.0
233,10,89.0,26.0
234,10,90.0,26.0
235,10,91.0,26.0
236,10,92.0,26.0
237,10,93.0,25.0
238,10,94.0,25.0
239,10,95.0,24.0
240,10,95.0,23.0
241,10,95.0,22.0
242,10,95.0,21.0
243,10,95.0,20.0
244,10,95.0,19.0
245,10,95.0,18.0
246,10,96.0,17.0
247,10,96.0,16.0
248,11,406.0,455.0
249,11,407.0,454.0
250,11,408.0,453.0
251,11,409.0,453.0
252,11,410.0,453.0
253,12,411.0,378.0
254,12,412.0,378.0
255,12,413.0,378.0
256,12,414.0,379.0
257,12,415.0,379.0
258,12,416.0,380.0
259,12,417.0,380.0
260,12,418.0,380.0
261,12,419.0,380.0
262,12,420.0,380.0
263,12,421.0,380.0
264,12,422.0,380.0
265,12,423.0,380.0
266,12,424.0,381.0
267,12,425.0,381.0
268,12,426.0,381.0
269,12,427.0,381.0
270,12,428.0,382.0
271,12,429.0,382.0
272,12,430.0,382.0
273,12,431.0,382.0
274,12,432.0,382.0
275,12,433.0,382.0
276,12,434.0,382.0
277,12,435.0,382.0
278,12,436.0,382.0
279,12,437.0,382.0
280,12,438.0,382.0
281,12,439.0,382.0
282,12,440.0,383.0
283,12,441.0,383.0
284,12,442.0,383.0
285,12,443.0,383.0
286,12,444.0,384.0
287,12,445.0,384.0
288,12,446.0,385.0
289,12,447.0,385.0
290,12,448.0,385.0
291,12,449.0,386.0
292,12,450.0,386.0
293,12,451.0,387.0
294,12,452.0,387.0
295,12,453.0,388.0
296,12,454.0,388.0
297,12,455.0,389.0
298,12,456.0,389.0
299,12,457.0,389.0
300,12,458.0,389.0
301,12,459.0,389.0
302,12,460.0,389.0
303,13,119.0,88.0
304,13,120.0,88.0
305,13,121.0,88.0
306,13,122.0,89.0
307,14,356.0,64.0
308,14,357.0,64.0
309,14,358.0,63.0
310,15,8.0,343.0
311,15,9.0,343.0
312,15,10.0,344.0
313,16,312.0,74.0
314,16,313.0,74.0
315,17,83.0,424.0
316,17,84.0,424.0
317,17,85.0,424.0
318,17,86.0,423.0
319,17,87.0,423.0
320,17,88.0,423.0
321,17,89.0,423.0
322,17,90.0,423.0
323,17,91.0,423.0
324,17,92.0,423.0
325,17,93.0,423.0
326,17,94.0,422.0
327,17,95.0,422.0
328,17,96.0,422.0
329,17,97.0,422.0
330,17,98.0,422.0
331,17,99.0,421.0
332,17,100.0,421.0
333,17,101.0,421.0
334,17,102.0,420.0
335,17,103.0,420.0
336,17,104.0,419.0
337,17,105.0,419.0
338,17,106.0,418.0
339,17,107.0,417.0
340,17,108.0,416.0
341,17,109.0,415.0
342,17,110.0,415.0
343,17,111.0,414.0
344,17,112.0,414.0
345,17,113.0,413.0
346,17,114.0,413.0
